Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,timeframe,class
0.006617,0.39144,0.364,2.4933,-75.43,0.010113,0.010086,1.2886,1.055,0.50442,0.010086,0.041378,0.05495,0.010086,4453.0,0.081968,2.5547,0.010086,0.017273,290.48,1.1334,0.029943,0.011332,0.016539,0.50442,0.073105,0.541,0.92801,5.8,0.57398,0.017273,160.75,2.2706,0.076494,0.029943,0.59388,0.96868,0.65211,0.05128,0.2747,0.24776,0.05128,338.05,47.574,0.014239,0.58693,306.46,0.007943,0.013603,1.5526,0.24375,0.44041,1.286,1.6625,229690.0,0.052132,0.013118,0.94787,0.29279,1.2565,7.6723,152.37,2.3955,1.4886,1,0
0.004166,0.98739,-0.47681,0.41282,-146.24,-0.074278,0.004229,0.006961,1.0194,0.006874,0.004229,0.005207,0.032828,0.004229,6624.9,0.055095,1.0128,0.004229,0.002552,35.578,1.0362,0.033197,0.002514,-0.074001,0.006874,0.055031,0.20423,-0.71726,4.4401,0.5712,0.002552,182.34,2.0017,0.033621,0.033197,1.6623,0.99064,0.18222,0.020033,0.052277,0.38938,0.020033,64.488,28.91,0.02579,0.21391,36.27,-0.016974,-0.010243,0.33951,0.81204,0.49956,0.01034,0.2741,-13136.0,0.019071,0.60604,0.98093,25.51,10.259,12.626,178.86,2.0407,2.4927,1,0
0.02711,0.88499,0.18682,12.018,1707.2,-0.004871,0.02711,0.12996,0.94978,0.11501,0.027638,1.5989,0.032627,0.02711,10424.0,0.035016,1.13,0.02711,0.028544,3.7779,,0.027427,0.028544,0.02711,0.063534,0.035016,51.987,0.23463,3.9786,0.87629,0.028547,6.447,57.447,1.1007,-0.010196,0.94978,0.22514,0.97646,-0.010736,3.1085,0.94231,0.028878,58.056,54.278,2.7578,11.438,3.6837,0.023549,0.024794,0.23026,0.016956,0.017407,0.14445,1.2264,1778.3,-0.010736,0.23572,1.0261,7.4902,96.615,6.7246,6.5162,56.014,1.1929,1,0
-0.017755,0.26585,0.72951,3.7441,407.68,-0.0014046,-0.017755,2.7615,0.3559,0.73415,-0.01265,-0.066787,-0.043886,-0.017755,-6212.7,-0.058751,3.7615,-0.017755,-0.049889,0.0,,-0.015733,-0.049889,-0.017755,0.729,-0.058751,-3.0819,157.25,4.4642,-0.82515,-0.04944,261.23,1.3979,1.3979,-0.015553,0.35898,,0.73415,-0.0437,3.2748,-0.65175,-0.044207,127.96,127.96,,3.2748,0.0,-0.01787,-0.05021,3.7441,0.26585,0.71535,158.25,158.25,21242.0,-0.043713,-0.024185,1.0353,0.0,,2.8525,272.65,1.3387,76.718,4,1
0.057323,0.37475,0.57413,2.55,21.277,0.0,0.057323,1.6684,2.0964,0.62525,0.059861,0.15476,0.068189,0.057323,956.87,0.38145,2.6684,0.057323,0.027344,83.177,1.0182,0.0,0.027344,0.16758,0.35381,0.38145,0.0,10.351,3.7125,0.16175,0.064819,98.195,3.7171,3.674,0.0057995,2.0964,,0.62525,0.0027664,0.15054,0.14589,0.0,154.74,71.567,0.11999,1.2603,126.65,-0.085626,-0.040845,2.5204,0.3704,0.26903,11.272,11.272,2961.2,0.34324,0.09168,0.65797,0.0,4.3882,5.1001,64.491,5.6597,37.794,4,0
0.020909,0.65057,0.17279,1.2656,-17.568,0.0774,0.028354,0.46555,0.97129,0.30287,0.028354,0.043583,0.034505,0.028354,4709.2,0.077508,1.5371,0.028354,0.019402,61.227,0.71625,0.035808,0.014308,0.099533,0.30287,0.066065,0.238,0.97819,4.3525,0.42344,0.019402,157.83,2.3127,0.055042,0.035808,1.5502,,0.30287,0.024504,0.048838,0.36954,0.024504,197.71,136.49,0.085296,0.8888,59.469,0.013738,0.0094007,1.2656,0.65057,0.4324,1.7146,1.7146,3891.1,-0.029562,0.069036,1.0296,0.0,5.9614,2.6743,162.49,2.2463,8.273,2,0
-0.10853,1.2126,-1.1016,0.090263,-641.81,0.061807,-0.10853,-0.3347,1.0489,-0.40585,-0.10853,-0.089624,-0.15327,-0.10853,-4398.8,-0.082977,0.8247,-0.10853,-0.16532,0.0,1.0049,0.031665,-0.16532,0.079215,-0.40585,-0.082977,0.50594,-1.2368,4.3857,1.7856,-0.16532,706.21,0.51684,0.026114,0.031665,0.76192,66.554,-0.4042,0.048235,0.0334,1.0073,0.048235,38.285,38.285,,0.090263,0.0,0.023752,0.036182,0.090141,1.2109,1.9348,-0.45565,-0.45381,-26778.0,0.046627,0.26741,0.95337,-0.0040466,,9.5339,673.28,0.54212,0.73702,4,0
0.081104,0.43425,0.26878,1.6567,-15.029,0.24447,0.081104,1.1672,1.0724,0.50686,0.081104,0.19817,0.071,0.081104,1234.1,0.29576,2.3028,0.081104,0.044836,67.305,1.2121,0.089448,0.044836,0.24447,0.50686,0.29576,0.53027,0.8348,4.2725,0.23264,0.044836,88.556,4.1217,0.20598,0.089448,1.827,13.786,0.53184,0.049448,0.041761,0.10438,0.049448,133.36,66.059,0.24315,0.84171,72.176,0.042119,0.023284,1.5614,0.40926,0.24262,1.5743,1.6519,5034.2,0.067487,0.16001,0.93251,0.049299,5.4231,5.5253,82.58,4.42,5.6184,5,0
-0.2002,0.97814,-0.22168,0.63916,-116.63,-0.14977,-0.19915,-0.061648,0.99056,-0.0603,-0.19915,-0.32417,-0.12964,-0.19915,-2439.1,-0.14965,1.0223,-0.19915,-0.17638,42.01,1.6954,-0.021653,-0.17731,-0.14872,-0.0603,-0.15072,-0.18997,-0.365,5.2293,0.86394,-0.17638,196.73,1.8554,-0.022137,-0.021653,1.1348,0.72216,0.30349,-0.019178,0.005221,1.0333,-0.019178,125.9,83.891,-1.5406,0.42764,41.613,-0.074429,-0.065919,0.40145,0.61435,0.53898,-0.099287,0.49972,-37590.0,-0.0095252,3.3201,1.0095,-6.033,8.6885,4.3509,198.6,1.8379,1.8591,2,0
-0.19878,0.40839,-0.0026619,0.99348,-48.573,0.0128,-0.20252,1.2137,0.79077,0.49564,-0.20252,-0.49594,-0.17468,-0.20252,-1078.2,-0.33852,2.4487,-0.20252,-0.25589,56.12,0.43508,-0.20928,-0.25117,0.062944,0.49564,-0.32937,-2.0911,-0.004479,5.3122,0.46935,-0.25589,148.92,2.4509,-0.51246,-0.20928,0.8503,7167.7,0.49568,-0.26443,0.095395,-0.092588,-0.26443,169.13,113.01,-1.6336,0.69549,44.378,-0.27355,-0.34564,0.99338,0.40835,0.40801,0.83396,0.83403,-546.2,-0.2646,-0.40106,1.2646,7.9941e-05,6.504,3.2297,188.33,1.9381,1.3317,3,0
0.053535,0.86107,0.12978,1.1584,-133.12,0.034862,0.066694,0.16135,1.3451,0.13893,0.072563,0.081393,0.054879,0.066694,4257.6,0.08573,1.1613,0.066694,0.049582,162.19,1.0919,0.047748,0.039799,0.18389,0.13756,0.070448,8.1349,2.5545,4.5638,0.59218,0.052017,234.99,1.5533,1.4781,0.072372,1.3451,,0.13893,0.053803,0.078827,0.52307,0.035497,240.04,77.849,0.089568,0.42895,171.41,0.040622,0.0302,1.1023,0.81941,0.64381,2.7346,2.7346,4754.0,0.053803,0.38534,0.9514,0.0,2.2505,4.6886,222.35,1.6416,26.476,3,0
0.00052096,0.21344,0.14967,1.7012,-61.22,0.0,0.00064329,3.6852,0.71186,0.78656,0.017976,0.0030139,0.045928,0.00064329,2382.8,0.15318,4.6852,0.00064329,0.00090367,134.74,0.88997,0.01797,0.00073183,0.0029377,0.71697,0.15261,1.0368,0.235,3.2157,0.28865,0.025251,111.74,3.2665,3.2665,0.014665,0.71186,,0.78656,0.020601,0.037285,0.14223,0.025244,182.1,47.36,0.0019825,0.47004,137.57,-0.014081,-0.019781,1.7012,0.21344,0.30614,1.235,1.235,245.93,0.020601,0.00066232,0.9991,0.0,2.7089,7.707,109.44,3.3352,1.1177,4,0
0.029588,0.21242,0.547,3.5751,133.39,0.0,0.038145,3.7077,1.2704,0.78758,0.04488,0.17958,0.088289,0.038145,691.24,0.52804,4.7077,0.038145,0.030026,23.163,0.94375,0.031356,0.02329,0.067982,0.64318,0.48775,4.6557,2.2737,2.5394,0.044996,0.030037,59.086,6.1774,6.1774,-0.041778,1.2704,,0.78758,-0.032886,0.76668,0.067195,0.024681,171.4,148.24,0.36701,3.1956,22.425,-0.042662,-0.033582,3.5751,0.21242,0.16188,3.2737,3.2737,189.4,-0.032886,0.037568,0.97189,0.0,15.758,2.4623,61.029,5.9808,5.2806,4,0
-0.073764,1.0065,-0.17618,0.82495,-16.443,-0.26839,-0.073764,-0.0064257,3.8187,-0.0064673,-0.052064,-0.07329,-0.016296,-0.073764,-5903.4,-0.061828,0.99357,-0.073764,-0.019317,0.0,,-0.052071,-0.019317,-0.073764,-0.34215,-0.061828,-2.3996,-1.0381,2.1765,0.24443,-0.013636,94.951,3.8441,3.8441,-0.050233,3.8187,,-0.0064673,-0.013154,0.072589,-0.82765,-0.013636,72.378,72.378,,0.82495,0.0,-0.063607,-0.016657,0.82495,1.0065,0.26014,-0.038107,-0.038107,-26.452,-0.013156,11.406,1.0193,0.0,,5.043,96.201,3.7942,22.501,2,0
0.088349,0.5691,-0.20022,0.62591,-90.807,0.36552,0.088349,0.75716,1.1413,0.4309,0.088349,0.16507,0.12963,0.088349,903.36,0.40405,1.7572,0.088349,0.049807,31.78,1.074,0.21908,0.049807,0.36552,0.4309,0.40405,1.4096,-0.30109,4.3722,0.30165,0.049807,125.69,2.904,0.38497,0.21908,1.7756,5.3302,0.46477,0.12351,0.066683,0.051875,0.12351,61.589,29.809,0.57203,0.33735,36.27,0.07749,0.043685,0.58866,0.53523,0.34436,0.64797,0.69891,-4717.7,0.12378,0.20503,0.87622,0.078614,11.485,12.245,110.13,3.3142,2.6675,2,0
0.028321,0.12616,0.14586,2.1562,533.9,0.0,0.037013,6.9266,0.029592,0.87384,0.040417,0.29339,2.1013,0.037013,740.51,0.4929,7.9266,0.037013,1.2508,590.76,0.2306,0.040374,0.95705,0.043529,0.036188,0.42401,11.862,0.20036,4.0395,4.1884,1.3658,504.77,0.99686,0.99686,-0.061632,0.029592,,0.87384,-2.0827,0.017549,0.064159,1.3643,3327.8,2737.0,0.59132,1.7765,139.01,0.015204,0.51378,2.1562,0.12616,1.0032,1.2004,1.2004,2.1562,-2.0827,0.03241,0.77727,0.0,0.61785,0.13336,1556.1,0.23457,0.04065,3,0
0.008516,0.39062,0.0011037,1.0039,-37.48,0.0,0.015985,1.56,1.2891,0.60938,0.039313,0.056862,0.017429,0.015985,6345.8,0.057518,2.56,0.015985,0.0124,10.789,1.2698,0.036,0.006606,0.036711,0.5683,0.038397,1.5432,0.0015377,3.1788,0.28289,0.030302,81.883,4.4576,3.208,0.036,1.2891,2.2294,0.71888,0.027926,0.42233,0.30649,0.027926,46.292,35.503,0.22349,0.86838,11.099,0.029518,0.022897,0.7225,0.28112,0.22434,0.84898,1.0015,1.666,0.027926,0.013975,0.98763,0.17969,33.831,10.281,79.596,4.5857,1.796,4,0
0.14768,0.36575,0.50925,2.425,58.438,0.2523,0.18765,1.6075,1.095,0.58796,0.18765,0.52509,0.10477,0.18765,586.35,0.62249,2.7341,0.18765,0.086353,18.821,1.0805,0.1926,0.067958,0.32533,0.58796,0.51321,0.97057,3.8179,5.1042,0.11253,0.086353,65.73,5.553,0.52659,0.1926,2.2105,89.943,0.59635,0.088633,0.56749,0.05169,0.088633,111.5,92.679,1.3179,2.1115,20.61,0.15257,0.070211,2.3694,0.35736,0.18008,4.408,4.4709,64728.0,0.086789,0.25116,0.91321,0.014269,19.393,3.9383,60.026,6.0807,16.291,2,0
0.10142,0.13591,0.75543,6.5583,107.1,0.10142,0.13121,5.7407,1.03,0.78023,0.13121,0.96537,0.069473,0.13121,294.39,1.2398,7.3577,0.13121,0.054094,0.0,,0.07026,0.041815,0.13121,0.78023,1.0207,0.29835,6.9525,3.9759,0.028724,0.054094,21.066,17.327,0.51695,0.07026,2.4904,,0.78023,0.028967,0.97264,0.041542,0.028967,114.24,114.24,,6.5583,0.0,0.032956,0.013587,6.5583,0.13591,0.057714,7.1808,7.1808,7147.2,0.029104,0.12999,0.9709,0.0,,3.195,20.453,17.846,22.323,3,0
0.0091273,0.44785,0.2723,1.6414,-65.673,0.1219,0.013346,1.2142,1.0481,0.54377,0.013346,0.031439,0.034443,0.013346,4110.7,0.088792,2.2329,0.013346,0.01156,145.88,0.92708,0.040158,0.0079057,0.15722,0.54377,0.079372,0.36456,0.89813,5.0611,0.37663,0.01156,140.66,2.5948,0.089668,0.040158,1.1699,10.088,0.56711,0.034783,0.047181,0.22115,0.034783,213.96,68.087,0.019781,0.55451,152.89,0.013738,0.011899,1.5559,0.42451,0.38538,1.7935,1.8705,31341.0,0.045891,0.016785,0.95411,0.042913,2.5021,5.3608,134.21,2.7196,3.808,3,0
0.02036,0.6658,0.03418,1.1218,-54.012,0.13029,0.028047,0.48537,1.0516,0.32316,0.028047,0.099966,0.061524,0.028047,3909.8,0.093356,1.5019,0.028047,0.027761,61.869,0.91915,0.033392,0.020152,0.17019,0.32316,0.08181,0.34759,0.048022,4.5769,0.62438,0.027761,106.6,3.4241,0.050153,0.033392,1.0381,0.37249,0.7084,0.033052,0.13169,0.32428,0.033052,100.36,38.494,0.11889,0.51146,65.064,-0.00071788,-0.00071057,0.47273,0.28057,0.29205,0.45404,0.9953,1290.3,0.049109,0.063001,0.95089,1.1921,5.8995,9.4819,101.36,3.6009,1.4194,4,0
0.17231,0.66277,0.19777,1.3034,-138.98,0.38014,0.21462,0.48484,1.2261,0.32134,0.21462,0.3292,0.12914,0.21462,1015.1,0.35957,1.5088,0.21462,0.1163,144.43,0.99982,0.33732,0.093374,0.46863,0.32134,0.29573,2.2411,1.3162,4.7317,0.32736,0.1163,158.1,2.3086,0.50896,0.33732,1.8505,11.063,0.33214,0.18279,0.15058,0.060358,0.18279,148.65,4.2266,0.23598,0.18335,177.08,0.31363,0.16996,1.2821,0.65196,0.43316,2.1385,2.2104,10663.0,0.18438,0.53623,0.81562,0.033627,2.5272,86.357,128.95,2.8305,12.281,3,0
0.037296,0.79002,-0.12336,0.69064,-92.965,0.0,0.043811,0.26579,0.90134,0.20998,0.0603,0.10986,0.14993,0.043811,2133.8,0.17106,1.2658,0.043811,0.048606,27.327,0.73794,0.055159,0.041378,0.090867,0.1991,0.16281,3.3451,-0.17025,3.7764,0.8755,0.062785,170.89,2.1359,1.0781,0.049592,0.90134,15.002,0.22384,0.05502,0.016091,0.17977,0.061196,108.93,81.602,0.55269,0.52142,28.918,-0.036172,-0.040131,0.34861,0.39877,0.46818,0.28979,0.30892,-737.13,0.05502,0.17762,0.95598,0.066007,13.357,4.4729,161.48,2.2603,1.2439,3,0
0.1871,0.28329,0.63434,3.4503,-74.746,0.0,0.28168,2.5299,0.73593,0.71671,0.28333,1.0881,0.41229,0.28168,340.8,1.071,3.5299,0.28168,0.38276,58.925,0.9021,0.27206,0.25423,0.3765,0.65956,0.73714,165.48,5.941,3.6124,0.38495,0.38332,92.157,3.9607,3.6194,-0.28942,0.73593,,0.71671,-0.39327,2.7963,0.032142,0.36969,83.974,25.049,1.5748,2.9914,42.292,0.25033,0.34016,3.153,0.25888,0.25248,6.7124,6.7124,2598.7,-0.39327,0.26105,0.79183,0.0,6.1944,14.571,128.4,2.8427,6.8925,5,0
0.2968,0.080328,0.55156,7.8664,97.218,0.60201,0.2968,11.449,1.2834,0.91967,0.2968,3.6948,0.27009,0.2968,89.046,4.099,12.449,0.2968,0.24345,89.856,1.0996,0.29842,0.24345,0.60201,0.91967,4.099,3.1416,1.4984,4.3776,-0.0206,0.24345,30.866,11.825,3.715,0.29842,1.2503,,0.91967,0.24478,1.3586,0.0079814,0.24478,156.51,66.658,0.98892,4.1302,115.32,0.26595,0.21815,7.8664,0.080328,0.084565,2.4984,2.4984,13159.0,0.22083,0.32272,0.77917,0.0,4.062,5.4757,24.05,15.177,3.3118,3,0
-0.038869,0.041618,-0.03298,0.20755,-243.87,-0.038869,-0.038869,23.028,0.0,0.95838,-0.038869,-0.93396,,-0.038869,-390.81,-0.93396,24.028,-0.038869,,,,-0.048685,,-0.038869,0.95838,-0.93396,-10.0,-0.033267,1.406,,,312.02,1.1698,-1.1698,-0.048685,0.0098155,,0.95838,,0.19811,-0.028104,,,,,0.20755,0.0,-0.048685,,0.20755,0.041618,0.85484,0.96673,0.96673,-0.84,,-0.040557,,0.0,,0.0,,0.0,0.0,3,0
-0.034037,0.86989,0.20529,1.6226,-142.18,-0.036785,-0.034037,0.14958,0.91231,0.13011,-0.018997,-0.10322,0.023369,-0.034037,14893.0,0.024508,1.1496,-0.034037,-0.037308,187.89,1.0536,0.0,-0.037308,-0.084933,0.029646,0.024508,0.0,0.4415,3.9011,0.95227,-0.074617,163.44,2.2333,0.84657,0.005436,0.91231,0.12107,0.67025,0.005958,0.017444,0.52381,0.0,211.76,23.861,-0.072475,0.19831,232.77,-0.055356,-0.060677,0.61506,0.32975,0.44777,0.27983,1.4415,1634.6,0.1928,-0.26159,0.82672,4.1513,1.9426,15.297,131.93,2.7667,1.9621,5,0
0.088613,0.62534,0.085629,1.1961,5.1117,0.0,0.11318,0.59912,1.6687,0.37466,0.18136,0.2592,0.095887,0.11318,1426.5,0.25587,1.5991,0.11318,0.067822,8.0341,1.2348,0.18113,0.053102,0.31857,0.3517,0.21659,2.6566,0.17924,3.6391,0.35136,0.081854,107.27,3.4027,2.3759,0.18297,1.6687,2.5699,0.56359,0.10964,0.15457,0.09144,0.10854,99.472,91.438,2.4125,1.112,9.0235,0.1343,0.080479,0.83517,0.43664,0.29388,0.78424,1.1797,373.0,0.10964,0.23652,0.93219,0.50429,45.431,3.9918,95.506,3.8218,3.493,2,0
0.043914,0.76047,-0.07151,0.87346,-15.722,0.0,0.055788,0.31498,2.0547,0.23953,0.091917,0.098719,0.02844,0.055788,4750.1,0.076841,1.315,0.055788,0.027152,0.44997,1.4982,0.090411,0.021373,0.09589,0.21032,0.061227,2.5024,-0.14121,3.5344,0.33638,0.037171,105.18,3.4704,2.5789,0.09347,2.0547,2.7261,0.41967,0.045492,0.14301,0.2724,0.044003,73.33,72.88,17.337,0.86898,0.47142,0.087764,0.042715,0.64908,0.56512,0.28815,0.47301,0.82875,-244.79,0.045492,0.18333,0.97294,0.75206,811.16,5.0082,100.39,3.6358,4.0574,4,0
0.24631,0.4205,0.5795,2.3781,29.594,0.0,0.30769,1.3781,6.6823,0.5795,0.30769,0.73174,0.046046,0.30769,498.81,0.73174,2.3781,0.30769,0.046046,0.0,1.3375,0.30766,0.036861,0.5779,0.24631,0.58577,,,2.1763,0.062927,0.046046,23.783,15.347,15.347,0.22888,6.6823,,0.5795,0.034252,0.11653,0.045559,0.046041,51.946,51.946,,2.3781,0.0,0.30766,0.046041,2.3781,0.4205,0.065159,,,86.963,0.034252,0.42504,0.95449,0.0,,7.0266,22.968,15.891,,3,0
-0.022098,0.63408,-0.03268,0.89186,-63.989,-0.00589,-0.027022,0.57709,0.91704,0.36592,0.067258,-0.089423,0.026735,-0.027022,9439.9,0.038665,1.5771,-0.027022,-0.029467,43.169,0.9264,0.067258,-0.024097,0.087131,0.04965,0.046431,0.71338,-0.044737,4.9248,0.69143,-0.0079357,129.89,2.8101,1.3392,0.067859,0.91704,0.50806,0.6829,0.073998,0.002144,0.17792,0.073342,107.01,63.842,-0.20375,0.53294,46.619,0.015719,0.017141,0.42504,0.30219,0.35586,0.50092,0.93485,-2748.2,0.073998,-0.06039,1.0294,0.86626,8.4551,5.7173,120.28,3.0347,1.2554,2,0
